x_m,y_m,forward_from_s1_m,lateral_from_s1_m,in_signal_region,in_bearing_region,sampled_signal_margin_m,sampled_min_target_distance_m,sampled_max_target_distance_m
900.0,-100.0,900.0,-100.0,True,True,99.42028594699389,85.05911599367045,900.5797140530061
950.0,-100.0,950.0,-100.0,True,True,49.71378131836968,84.08005046521286,950.2862186816303
50.0,-50.0,50.0,-50.0,True,True,47.784492863512014,49.11976447276764,1451.486180388569
100.0,-50.0,100.0,-50.0,True,True,97.65560038105968,48.25496614908555,1401.5575372628907
150.0,-50.0,150.0,-50.0,True,True,147.51190739027004,47.40644986252056,1351.6341696841796
200.0,-50.0,200.0,-50.0,True,True,197.35071396547812,46.57510551158224,1301.716684635049
250.0,-50.0,250.0,-50.0,True,True,247.1686223268125,45.76186898053247,1251.8057858376776
300.0,-50.0,300.0,-50.0,True,True,296.96129633382236,44.96772271415219,1201.9022938059932
350.0,-50.0,350.0,-50.0,True,True,346.72311442832984,44.19369586186922,1152.007171095532
400.0,-50.0,400.0,-50.0,True,True,396.4466567454924,43.44086389673867,1102.1215543917795
450.0,-50.0,450.0,-50.0,True,True,446.1219263138868,42.71034760555816,1052.246795696891
500.0,-50.0,500.0,-50.0,True,True,495.7351290607104,42.00331133862308,1002.3845157691717
550.0,-50.0,550.0,-50.0,True,True,452.7024915169344,41.320960402198466,952.5366742825281
600.0,-50.0,600.0,-50.0,True,True,402.8947841090246,40.664537474805535,902.7056631331395
650.0,-50.0,650.0,-50.0,True,True,353.057409891229,40.03531793115592,852.8944323021832
700.0,-50.0,700.0,-50.0,True,True,303.19673440124984,39.434603966398086,803.1066623129743
750.0,-50.0,750.0,-50.0,True,True,253.3174255404648,38.8637174296753,753.3470046737478
800.0,-50.0,800.0,-50.0,True,True,203.42298360173834,38.095630702396356,796.5770163982617
850.0,-50.0,850.0,-50.0,True,True,153.5160845554161,36.99146709536767,846.4839154445839
900.0,-50.0,900.0,-50.0,True,True,103.59880903758813,35.895674272132425,896.4011909624119
950.0,-50.0,950.0,-50.0,True,True,53.67279907461841,34.80904278148785,946.3272009253816
1000.0,-50.0,1000.0,-50.0,True,True,3.7393678039343285,33.73245798344574,996.2606321960657
50.0,0.0,50.0,0.0,True,False,49.99199114160035,1.232727530531235,1450.0
100.0,0.0,100.0,0.0,True,False,99.9831092422661,2.465455061062307,1400.0
150.0,0.0,150.0,0.0,True,False,149.97320333397033,3.698182591593384,1350.0
200.0,0.0,200.0,0.0,True,False,199.96208551638972,4.930910122124451,1300.0
250.0,0.0,250.0,0.0,True,True,249.94951892906954,6.163637652655538,1250.0
300.0,0.0,300.0,0.0,True,True,299.9352006962937,7.396365183186606,1200.0
